Howard,Anderson,Dec 30 2018
Phillip,Miller,Dec 30 2018
Kathryn,Zimmerman,Dec 30 2018
Teresa,Moore,Dec 31 2018
Kathleen,Long,Dec 31 2018
Doris,Butler,Dec 31 2018
Maria,Ramirez,Dec 31 2018
Brandon,Foster,Dec 31 2018
Priscilla,Carroll,Dec 31 2018
Jeannie,Webb,Dec 31 2018
Sarah,Martin,Jan 01 2019
Edmund,Townsend,Jan 01 2019
Laura,Kelly,Jan 02 2019
Ann,Wilson,Jan 02 2019
Frederick,Cruz,Jan 03 2019
Constance,Underwood,Jan 03 2019
Kathryn,Zimmerman,Jan 03 2019
Ronald,Jones,Jan 04 2019
George,Bowen,Jan 04 2019
Ramona,Sullivan,Jan 04 2019
Bertha,Rivera,Jan 04 2019
Marie,Sanders,Jan 05 2019
Cynthia,Coleman,Jan 06 2019
Dorothy,Turner,Jan 06 2019
Kathryn,Zimmerman,Jan 07 2019
John,Adams,Jan 08 2019
Tammy,Lewis,Jan 09 2019
Geoffrey,Marsh,Jan 09 2019
Michael,Brooks,Jan 10 2019
Harold,Parker,Jan 10 2019
Victor,Bryant,Jan 10 2019
Merle,Grant,Jan 10 2019
Miguel,Caldwell,Jan 10 2019
Matthew,Lewis,Jan 10 2019
Marguerite,Fuller,Jan 11 2019
Jimmy,Howard,Jan 12 2019
Sadie,Buchanan,Jan 12 2019
